,success,NetworkStrength,ClientTenure,Employees,state,Industry,population,tot_payroll_q1,tot_payroll_annual,tot_employers,company_size,income_cat
4,0,-0.4495,6,12,PA,I19,88765.0,149641.0,598117.0,918.0,Small,Middle
5,1,0.7903,1,15,GA,Unknown,110527.0,182656.0,777949.0,1034.0,Small,Middle
6,0,0.1056,1,22,IL,I11,5194675.0,3234349.0,8432663.0,1633.0,Small,Upper
9,0,0.6907,8,18,MI,Unknown,1202362.0,8306.0,38240.0,100.0,Small,Low
20,0,0.2052,13,5,OH,I23,802374.0,472780.0,1927581.0,1369.0,Micro,Upper
23,0,-0.1124,1,75,MN,I01,1152425.0,541425.0,2139962.0,1389.0,Medium,Upper
25,0,0.3413,4,64,TX,I27,1024266.0,942202.0,3788470.0,2354.0,Medium,Upper
41,0,0.3413,16,57,TX,I11,1024266.0,651789.0,2664674.0,1666.0,Medium,Upper
46,0,-0.1704,1,10,NC,Unknown,900993.0,291346.0,1243720.0,1501.0,Micro,Upper Middle
53,0,-0.3813,1,358,NC,I27,47759.0,73769.0,301268.0,745.0,Large,Lower-Middle
54,0,0.5281,3,80,OH,I23,138333.0,90713.0,373771.0,515.0,Medium,Lower-Middle
78,0,0.6284,4,110,CA,I24,3095313.0,208791.0,806310.0,1017.0,Medium,Middle
95,0,0.5411,25,17,CA,I27,3010232.0,112135.0,466834.0,1312.0,Small,Lower-Middle
101,0,-0.3161,7,19,ND,I20,149778.0,379734.0,1567543.0,1275.0,Small,Upper Middle
109,0,0.8643,26,25,CA,I13,1418788.0,41353.0,193344.0,430.0,Small,Low
134,0,-0.2416,1,26,TX,Unknown,116927.0,94424.0,399995.0,863.0,Small,Lower-Middle
145,0,0.0389,4,28,AZ,I13,980263.0,246482.0,927057.0,1415.0,Small,Middle
147,1,0.5792,1,43,NC,I26,168148.0,335095.0,1355244.0,1257.0,Small,Upper Middle
156,0,-2.1151,8,45,LA,I18,23042.0,102013.0,412754.0,497.0,Small,Lower-Middle
184,0,-0.1406,7,27,IL,I22,515269.0,346127.0,1452842.0,1456.0,Small,Upper Middle
187,0,0.4332,33,12,VA,I12,1081726.0,489358.0,2203312.0,1234.0,Small,Upper
208,0,-0.2462,3,11,WI,I22,389891.0,523048.0,2121001.0,1099.0,Small,Upper
211,1,0.819,1,280,GA,Unknown,920581.0,289349.0,1202996.0,664.0,Large,Upper Middle
220,0,-0.2097,22,37,PA,I27,1223348.0,32399.0,140469.0,390.0,Small,Low
224,0,0.819,25,13,GA,I20,920581.0,311500.0,1023871.0,853.0,Small,Middle
234,0,-0.3561,2,41,MI,I20,52293.0,10384.0,45388.0,128.0,Small,Low
240,0,-0.8504,15,64,TX,I21,92565.0,4083.0,16719.0,20.0,Medium,Low
241,0,0.0558,9,22,CA,I02,805235.0,1980788.0,8097044.0,3189.0,Small,Upper
251,0,-0.7312,6,31,GA,I24,124053.0,160081.0,651824.0,1347.0,Small,Middle
252,1,-0.5883,10,165,MN,I27,144248.0,1138509.0,4341755.0,1284.0,Medium,Upper
268,0,0.6324,4,538,FL,I22,190865.0,180574.0,754182.0,1340.0,Large,Middle
277,0,0.6907,5,111,MI,I02,1202362.0,128341.0,561399.0,948.0,Medium,Lower-Middle
284,0,0.3413,24,125,TX,I27,422679.0,211443.0,882279.0,1524.0,Medium,Middle
288,0,-0.5895,14,658,NC,I20,900993.0,889030.0,3631576.0,1407.0,Large,Upper
303,0,0.6907,8,8,MI,I11,1202362.0,109824.0,478847.0,782.0,Micro,Lower-Middle
316,0,-0.3407,8,15,GA,I22,265128.0,397516.0,1655259.0,617.0,Small,Upper Middle
317,1,0.5053,1,49,SC,Unknown,119224.0,30268.0,134458.0,414.0,Small,Low
318,0,0.292,5,12,AZ,I22,3817117.0,110874.0,467689.0,581.0,Small,Lower-Middle
330,1,0.1805,1,101,TX,Unknown,1809034.0,40130.0,159831.0,342.0,Medium,Low
339,1,0.6907,51,110,MI,I27,1202362.0,261214.0,1052361.0,1177.0,Medium,Upper Middle
340,0,0.7062,1,12,GA,Unknown,691893.0,212740.0,881999.0,1481.0,Small,Middle
353,1,-1.3177,4,12,MN,I20,46183.0,5503.0,31313.0,69.0,Small,Low
358,0,-0.2305,3,42,KS,Unknown,498365.0,150507.0,607055.0,833.0,Small,Middle
373,1,-0.6972,2,155,TX,I21,800647.0,34556.0,145715.0,433.0,Medium,Low
374,0,-0.1531,2,17,MO,I27,75990.0,152927.0,624024.0,851.0,Small,Middle
390,0,-0.0383,8,107,WI,I23,34690.0,17847.0,75261.0,174.0,Medium,Low
401,1,0.4332,23,100,VA,I19,1081726.0,1091319.0,4451490.0,1918.0,Medium,Upper
406,0,0.0031,1,45,PA,I24,498886.0,1291986.0,4427445.0,1801.0,Small,Upper
409,0,0.4556,12,11,OH,I21,53139.0,12984.0,54455.0,56.0,Small,Low
422,0,-0.1249,6,33,TX,Unknown,1714773.0,26503.0,111797.0,339.0,Small,Low
437,0,-0.1254,1,34,AL,Unknown,34215.0,7473.0,30624.0,105.0,Small,Low
450,1,0.4454,1,12,CA,Unknown,423895.0,128419.0,554936.0,936.0,Small,Lower-Middle
468,0,-0.5895,1,9,NC,Unknown,267587.0,194548.0,770169.0,1025.0,Micro,Middle
492,0,0.8537,2,6,CA,I11,1510271.0,540357.0,2158360.0,1673.0,Micro,Upper
501,1,0.819,12,12,GA,I22,920581.0,1270978.0,4328211.0,1572.0,Small,Upper
502,0,-0.6882,1,69,IA,Unknown,17534.0,2799.0,13429.0,34.0,Medium,Low
506,1,-0.0671,4,78,MI,I19,425790.0,172707.0,733716.0,942.0,Medium,Middle
509,0,0.24,7,105,ND,I25,24199.0,158162.0,672648.0,1035.0,Medium,Middle
510,0,-0.4799,4,62,WI,I20,195408.0,120779.0,492505.0,294.0,Medium,Lower-Middle
521,0,0.8537,19,39,CA,I09,1781642.0,1346153.0,5286971.0,2253.0,Small,Upper
529,0,-0.8001,16,25,OR,I14,85579.0,60090.0,253569.0,594.0,Small,Low
542,0,-0.4309,5,28,AL,I27,658466.0,549093.0,2163524.0,1777.0,Small,Upper
555,0,0.3078,16,36,NM,I25,144170.0,161615.0,690586.0,1550.0,Small,Middle
556,0,0.4789,2,31,FL,I19,422718.0,169658.0,712682.0,1441.0,Small,Middle
557,0,0.2319,15,14,IL,I01,37762.0,6980.0,30869.0,89.0,Small,Low
562,0,0.7062,7,11,GA,I02,920581.0,1913802.0,6046434.0,2572.0,Small,Upper
569,0,-0.5193,1,33,MI,Unknown,25949.0,35396.0,156290.0,333.0,Small,Low
584,0,0.1056,15,30,IL,I13,5194675.0,5551926.0,17253657.0,3405.0,Small,Upper
586,1,-1.2589,1,28,NC,Unknown,238318.0,151398.0,617278.0,1397.0,Small,Middle
602,0,-0.3616,2,10,WI,Unknown,131887.0,101250.0,412625.0,503.0,Micro,Lower-Middle
615,0,0.1815,8,24,IL,I09,916924.0,389708.0,1595352.0,1929.0,Small,Upper Middle
